Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,6.427143,6.444286,5.547143,5.952857,5.355524,3668980000
2005-04-01,6.012857,6.350000,4.857143,5.151429,4.634514,4843879600
2005-05-01,5.172857,5.848571,4.730000,5.680000,5.110046,3214573600
2005-06-01,5.698571,5.822857,5.074286,5.258572,4.730906,2831798900
2005-07-01,5.261428,6.340000,5.184286,6.092857,5.481476,2523561600
2005-08-01,6.081429,6.904286,6.002857,6.698571,6.026411,2350201700
2005-09-01,6.714286,7.794286,6.584286,7.658571,6.890079,3086942600
2005-10-01,7.737143,8.282857,6.838572,8.227143,7.401598,4660861800
2005-11-01,8.177143,10.152857,8.124286,9.688571,8.716380,3364106900
2005-12-01,9.850000,10.780000,9.830000,10.270000,9.239470,3266041100
2006-01-01,10.340000,12.342857,10.124286,10.787143,9.704719,5469592800
2006-02-01,10.707143,10.922857,8.985714,9.784286,8.802492,4690174300
2006-03-01,9.834286,9.998571,8.238571,8.960000,8.060918,5798158100
2006-04-01,9.095715,10.292857,8.721429,10.055715,9.046682,5029820600
2006-05-01,10.110000,10.542857,8.384286,8.538571,7.681777,3902194800
2006-06-01,8.550000,9.014286,7.915714,8.181429,7.360472,4484155900
2006-07-01,8.217143,9.804286,7.165714,9.708571,8.734373,4369935500
2006-08-01,9.602858,10.000000,8.940000,9.692857,8.720234,4471911500
2006-09-01,9.782857,11.111428,9.688571,10.997143,9.893647,4430389600
2006-10-01,10.728572,11.800000,10.371428,11.582857,10.420588,3596989200
2006-11-01,11.585714,13.308572,11.112857,13.094286,11.780354,3458721000
2006-12-01,13.114285,13.190000,10.967143,12.120000,10.903831,4222698200
2007-01-01,12.327143,13.971429,11.700000,12.247143,11.018215,6802445300
2007-02-01,12.318571,12.972857,11.837143,12.087143,10.874274,3430588700
2007-03-01,12.004286,13.832857,11.964286,13.272857,11.941003,3979661000
2007-04-01,13.448571,14.642858,12.800000,14.257143,12.826526,3364935000
2007-05-01,14.227143,17.452858,14.078571,17.312857,15.575615,4341267000
2007-06-01,17.299999,18.230000,16.485714,17.434286,15.684861,5819885400
2007-07-01,17.292856,21.274286,17.042856,18.822857,16.934092,6004643400
2007-08-01,19.091429,19.950001,15.945714,19.782858,17.797768,6090199500
2007-09-01,19.991428,22.142857,18.571428,21.924286,19.724316,5232805900
2007-10-01,22.090000,27.160000,21.847143,27.135714,24.412811,5819447900
2007-11-01,26.942858,27.525715,21.518572,26.031429,23.419334,6549947600
2007-12-01,25.980000,28.994286,25.284286,28.297142,25.457693,4313169700
2008-01-01,28.467142,28.608572,18.020000,19.337143,17.396778,8793472100
2008-02-01,19.462856,19.512857,16.491428,17.860001,16.067854,6216488600
2008-03-01,17.777143,20.820000,16.857143,20.500000,18.442949,5731818400
2008-04-01,20.900000,25.714285,20.515715,24.850000,22.356453,5696745600
2008-05-01,24.994286,27.462856,24.571428,26.964285,24.258581,4647053600
2008-06-01,26.942858,27.135714,23.450001,23.920000,21.519772,4868948700
2008-07-01,23.461428,25.844286,20.932858,22.707144,20.428621,4937440200
2008-08-01,22.842857,25.778572,21.844286,24.218571,21.788382,3271438800
2008-09-01,24.628571,24.785715,14.370000,16.237143,14.607842,6016890600
2008-10-01,15.988571,16.628571,12.142858,15.370000,13.827712,10356677800
2008-11-01,15.132857,15.970000,11.305715,13.238571,11.910160,5904865400
2008-12-01,13.042857,14.800000,12.078571,12.192857,10.969380,5053461700
2009-01-01,12.268572,13.881429,11.171429,12.875714,11.583714,4526435200
2009-02-01,12.728572,14.714286,12.358571,12.758572,11.478327,3466862700
2009-03-01,12.588572,15.711429,11.761429,15.017143,13.510265,3856149500
2009-04-01,14.870000,18.171429,14.841429,17.975714,16.171957,2955420300
2009-05-01,17.971428,19.414286,17.054285,19.401428,17.454611,2364285700
2009-06-01,19.495714,20.914286,18.982857,20.347143,18.305428,3168893000
2009-07-01,20.500000,23.571428,19.202858,23.341429,20.999258,2735534200
2009-08-01,23.601429,24.641428,22.774286,24.030001,21.618732,2041281200
2009-09-01,23.998571,26.985714,23.444286,26.478571,23.821608,2497329800
2009-10-01,26.478571,29.815714,25.814285,26.928572,24.226456,3239044200
2009-11-01,27.114286,29.714285,26.510000,28.558571,25.692886,2113696200
2009-12-01,28.891428,30.564285,26.954287,30.104286,27.083506,2848489700
2010-01-01,30.490000,30.798571,27.178572,27.437143,24.683992,3792248600
2010-02-01,27.481428,29.309999,27.264286,29.231428,26.298227,2694020000
2010-03-01,29.392857,33.925713,29.350000,33.571430,30.202738,3038543200
2010-04-01,33.915714,38.922855,33.250000,37.298573,33.555882,3091782400
2010-05-01,37.691429,38.268570,28.464285,36.697144,33.014805,4520663700
2010-06-01,37.098572,39.858570,34.599998,35.932858,32.327217,4162813200
2010-07-01,36.328571,37.998573,34.228573,36.750000,33.062359,3917426100
2010-08-01,37.205715,37.754284,33.651428,34.728573,31.243765,2397280200
2010-09-01,35.352856,42.104286,35.182858,40.535713,36.468193,2962479800
2010-10-01,40.878571,45.571430,39.681427,42.997143,38.682644,3058644400
2010-11-01,43.174286,45.900002,42.537144,44.450001,39.989704,2377021500
2010-12-01,45.038570,46.665714,44.984287,46.080002,41.456154,1743308700
2011-01-01,46.520000,49.799999,46.405716,48.474285,43.610184,2710383900
2011-02-01,48.757141,52.128571,48.245716,50.458572,45.395367,2323987400
2011-03-01,50.781429,51.667141,46.608570,49.787144,44.791302,2826614700
2011-04-01,50.158573,50.732857,45.737144,50.018570,44.999500,2313457300
2011-05-01,49.962856,50.261429,47.060001,49.689999,44.703896,1728015100
2011-06-01,49.838570,50.304287,44.357143,47.952858,43.141075,2315962600
2011-07-01,47.992859,57.785713,47.742859,55.782856,50.185383,2663486700
2011-08-01,56.825714,57.071430,50.431427,54.975716,49.459236,4035649800
2011-09-01,55.117142,60.408573,52.354286,54.474285,49.008118,2994362000
2011-10-01,54.338570,60.957142,50.605713,57.825714,52.023254,3285356900
2011-11-01,56.772858,58.285713,51.902859,54.599998,49.121216,2240925400
2011-12-01,54.648571,58.441429,53.954285,57.857143,52.051525,1576633100
2012-01-01,58.485714,65.462860,58.428570,65.211426,58.667850,1714963600
2012-02-01,65.487144,78.230003,64.854286,77.491432,69.715645,2842138600
2012-03-01,78.309998,88.778572,73.745712,85.650002,77.055557,3896084500
2012-04-01,85.975716,92.000000,79.285713,83.425713,75.054443,3899747600
2012-05-01,83.557144,85.251427,74.597145,82.532860,74.251175,2776586400
2012-06-01,81.308571,84.285713,78.357140,83.428574,75.057014,1963956400
2012-07-01,83.532860,88.552856,81.428574,87.251427,78.496284,2227412600
2012-08-01,87.987144,97.267143,85.750000,95.034286,85.498169,2069051600
2012-09-01,95.108574,100.724289,93.714287,95.300003,86.105347,2299751300
2012-10-01,95.879997,96.678574,83.957146,85.045715,76.840401,3035707500
2012-11-01,85.459999,86.142860,72.250000,83.611427,75.544487,3232462800
2012-12-01,84.807144,84.941429,71.604286,76.024284,69.003082,3033188200
2013-01-01,79.117142,79.285713,62.142857,65.070000,59.060482,3280855900
2013-02-01,65.587143,69.277145,62.522858,63.057144,57.233532,2336008500
2013-03-01,62.571430,67.135712,59.857143,63.237144,57.731411,2294219200
2013-04-01,63.128571,63.607143,55.014286,63.254284,57.747059,2740872400
2013-05-01,63.494286,66.535713,59.842857,64.247147,58.653481,2361882600
2013-06-01,64.389999,64.918571,55.552856,56.647144,52.057472,1754634000
2013-07-01,57.527142,65.334282,57.317142,64.647141,59.409294,1634528700
2013-08-01,65.107140,73.391426,64.751427,69.602859,63.963486,2014584600
2013-09-01,70.442856,72.559998,63.888573,68.107140,63.002205,2157735300
2013-10-01,68.349998,77.035713,68.325714,74.671425,69.074471,1959433000
2013-11-01,74.860001,79.761429,73.197144,79.438568,73.484291,1306288900
2013-12-01,79.714287,82.162857,76.971428,80.145714,74.571281,1764349300
2014-01-01,79.382858,80.028572,70.507141,71.514282,66.540199,2191488600
2014-02-01,71.801430,78.741432,71.328575,75.177139,69.948288,1470091700
2014-03-01,74.774284,78.428574,74.687141,76.677139,71.770996,1250424700
2014-04-01,76.822861,85.632858,73.047142,84.298569,78.904778,1608765200
2014-05-01,84.571426,92.024284,82.904289,90.428574,84.642570,1433917100
2014-06-01,90.565712,95.050003,88.928574,92.930000,87.469780,1206934800
2014-07-01,93.519997,99.440002,92.570000,95.599998,89.982887,1035086000
2014-08-01,94.900002,102.900002,93.279999,102.500000,96.477455,937077000
2014-09-01,103.059998,103.739998,96.139999,100.750000,95.301994,1526420000
2014-10-01,100.589996,108.040001,95.180000,108.000000,102.159950,1360280200
2014-11-01,108.220001,119.750000,107.720001,118.930000,112.498940,820408200
2014-12-01,118.809998,119.250000,106.260002,110.379997,104.863991,1073594600
2015-01-01,111.389999,120.000000,104.629997,117.160004,111.305183,1304643800
2015-02-01,118.050003,133.600006,116.080002,128.460007,122.040504,1136535200
2015-03-01,129.250000,130.279999,121.629997,124.430000,118.678413,1138642100
2015-04-01,124.820000,134.539993,123.099998,125.150002,119.365135,996135500
2015-05-01,126.099998,132.970001,123.360001,130.279999,124.257996,954152100
2015-06-01,130.279999,131.389999,124.480003,125.430000,120.131905,878512600
2015-07-01,126.900002,132.970001,119.220001,121.300003,116.176353,1057507200
2015-08-01,121.500000,122.570000,92.000000,112.919998,108.150322,1786018000
2015-09-01,110.150002,116.889999,107.360001,110.300003,106.119179,1206547300
2015-10-01,109.070000,121.220001,107.309998,119.500000,114.970459,1112323100
2015-11-01,120.800003,123.820000,111.000000,118.300003,113.815926,750640600
2015-12-01,118.750000,119.860001,104.820000,105.260002,101.703697,921529700
2016-01-01,102.610001,105.849998,92.389999,97.339996,94.051270,1271024100
2016-02-01,96.470001,98.889999,92.589996,96.690002,93.423241,810862600
2016-03-01,97.650002,110.419998,97.419998,108.989998,105.879097,746049600
2016-04-01,108.779999,112.389999,92.510002,93.739998,91.064392,872396200
2016-05-01,93.970001,100.730003,89.470001,99.860001,97.009705,900318100
2016-06-01,99.019997,101.889999,91.500000,95.599998,93.436729,779055700
2016-07-01,95.489998,104.550003,94.370003,104.209999,101.851898,685779600
2016-08-01,104.410004,110.230003,104.000000,106.099998,103.699127,630128500
2016-09-01,106.139999,116.180000,102.529999,113.050003,111.090431,968015600
2016-10-01,112.709999,118.690002,112.279999,113.540001,111.571930,686914300
2016-11-01,113.459999,113.769997,104.080002,110.519997,108.604279,721305500
